X	Y
971677.973269185	259920.478921271
973464.051926655	259920.478921271
975250.130584126	259920.478921271
977036.209241596	259920.478921271
978822.287899066	259920.478921271
980608.366556537	259920.478921271
982394.445214007	259920.478921271
984180.523871477	259920.478921271
985966.602528947	259920.478921271
987752.681186418	259920.478921271
989538.759843888	259920.478921271
991324.838501358	259920.478921271
993110.917158829	259920.478921271
994896.995816299	259920.478921271
996683.074473769	259920.478921271
998469.153131239	259920.478921271
1000255.23178871	259920.478921271
1002041.31044618	259920.478921271
1003827.38910365	259920.478921271
1005613.46776112	259920.478921271
1007399.54641859	259920.478921271
1009185.62507606	259920.478921271
1010971.70373353	259920.478921271
1012757.782391	259920.478921271
1014543.86104847	259920.478921271
1016329.93970594	259920.478921271
971677.973269185	258134.400263801
973464.051926655	258134.400263801
975250.130584126	258134.400263801
977036.209241596	258134.400263801
978822.287899066	258134.400263801
980608.366556537	258134.400263801
982394.445214007	258134.400263801
984180.523871477	258134.400263801
985966.602528947	258134.400263801
987752.681186418	258134.400263801
989538.759843888	258134.400263801
991324.838501358	258134.400263801
993110.917158829	258134.400263801
994896.995816299	258134.400263801
996683.074473769	258134.400263801
998469.153131239	258134.400263801
1000255.23178871	258134.400263801
1002041.31044618	258134.400263801
1003827.38910365	258134.400263801
1005613.46776112	258134.400263801
1007399.54641859	258134.400263801
1009185.62507606	258134.400263801
1010971.70373353	258134.400263801
1012757.782391	258134.400263801
1014543.86104847	258134.400263801
1016329.93970594	258134.400263801
971677.973269185	256348.32160633
973464.051926655	256348.32160633
975250.130584126	256348.32160633
977036.209241596	256348.32160633
978822.287899066	256348.32160633
980608.366556537	256348.32160633
982394.445214007	256348.32160633
984180.523871477	256348.32160633
985966.602528947	256348.32160633
987752.681186418	256348.32160633
989538.759843888	256348.32160633
991324.838501358	256348.32160633
993110.917158829	256348.32160633
994896.995816299	256348.32160633
996683.074473769	256348.32160633
998469.153131239	256348.32160633
1000255.23178871	256348.32160633
1002041.31044618	256348.32160633
1003827.38910365	256348.32160633
1005613.46776112	256348.32160633
1007399.54641859	256348.32160633
1009185.62507606	256348.32160633
1010971.70373353	256348.32160633
1012757.782391	256348.32160633
1014543.86104847	256348.32160633
1016329.93970594	256348.32160633
971677.973269185	254562.24294886
973464.051926655	254562.24294886
975250.130584126	254562.24294886
977036.209241596	254562.24294886
978822.287899066	254562.24294886
980608.366556537	254562.24294886
982394.445214007	254562.24294886
984180.523871477	254562.24294886
985966.602528947	254562.24294886
987752.681186418	254562.24294886
989538.759843888	254562.24294886
991324.838501358	254562.24294886
993110.917158829	254562.24294886
994896.995816299	254562.24294886
996683.074473769	254562.24294886
998469.153131239	254562.24294886
1000255.23178871	254562.24294886
1002041.31044618	254562.24294886
1003827.38910365	254562.24294886
1005613.46776112	254562.24294886
