id	borough	name	number	x	y
10310200010077	MN	PS 77 LOWER LAB SCHOOL	352	997980	225284
10310200010089	MN	PS 89	523	980378	200503
10310200010111	MN	PS 111 ADOLPH S OCHS	612	987082	218308
10310200010116	MN	PS 116 MARY LINDLEY MURRAY	785	990372	210523
10310200010124	MN	PS 124 YUNG WING	926	985354	199806
10310200010126	MN	PS 126 JACOB AUGUST RIIS	785	984965	198186
10310200010130	MN	PS 130 HERNANDO DESOTO	1022	984714	201104
10310200010150	MN	PS 150	185	981234	201421
10310200010151	MN	YORKVILLE COMMUNITY SCHOOL	177	998691	223694
10310200010158	MN	PS 158 BAYLARD TAYLOR	739	997893	219891
10310200010183	MN	PS 183 ROBERT L STEVENSON	646	995959	217554
10310200010198	MN	PS 198 ISADOR E IDA STRAUS	568	997980	225284
10310200010212	MN	PS 212 MIDTOWN WEST	343	987390	216649
10310200010217	MN	PS/IS 217 ROOSEVELT ISLAND	418	996320	213836
10310200010234	MN	PS 234 INDEPENDENCE SCHOOL	846	981234	201421
10310200010267	MN	PS 267	46	997893	219891
10310200010276	MN	BATTERY PARK CITY SCHOOL	331	979410	196632
10310200010290	MN	PS 290 MANHATTAN NEW SCHOOL	637	997329	221700
10310200010347	MN	AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL	224	989424	208287
10310200010397	MN	SPRUCE STREET SCHOOL	108	982563	199047
10310200011225	MN	ELLA BAKER SCHOOL	327	995392	218222
10310300010009	MN	PS 9 SARAH ANDERSON	597	991379	225360
10310300010075	MN	PS 75 EMILY DICKINSON	687	991450	228958
10310300010076	MN	PS 76 A PHILLIP RANDOLPH	461	997690	233123
10310300010084	MN	PS 84 LILIAN WEBER	518	992995	226907
10310300010087	MN	PS 87 WILLIAM SHERMAN	980	990337	224076
10310300010145	MN	PS 145 THE BLOOMINGDALE SCHOOL	484	993771	230412
10310300010149	MN	PS 149 SOJOURNER TRUTH	431	998622	231708
10310300010163	MN	PS 163 ALFRED E SMITH	626	992980	228978
10310300010165	MN	PS 165 ROBERT E SIMON	769	993677	231707
10310300010166	MN	PS 166 THE RICHARD ROGERS SCHOOL OF THE ARTS & SCIENCE	610	991849	226705
10310300010180	MN	PS 180 HUGO NEWMAN	624	996469	233500
10310300010185	MN	PS 185 JOHN M LANGSTON	251	998053	230182
10310300010191	MN	PS 191 AMSTERDAM	495	987708	220393
10310300010199	MN	PS 199 JESSIE ISADOR STRAUS	774	988564	222579
10310300010208	MN	PS 208 ALAIN L LOCKE	216	998053	230182
10310300010241	MN	PS 241 FAMILY ACADEMY	155	996547	231315
10310300010242	MN	PS 242 GWENDOLYN POWELL BROWN COMPUTER SCHOOL	194	998539	232949
10310300010333	MN	PS 333 MANHATTAN SCHOOL FOR CHILDREN	705	992277	227605
10310300010334	MN	THE ANDERSON SCHOOL	571	990453	223648
10310300010452	MN	PS 452	55	990453	223648
10310300011859	MN	SPECIAL MUSIC SCHOOL	134	988965	221724
